threshold,precision,recall,f1_score,false_positives,false_negatives,true_positives,true_negatives
0.4,0.13655433752875898,0.8128902316213494,0.2338286839894557,25520,929,4036,31018
0.41,0.13923873004736012,0.7993957703927492,0.23716761278757095,24536,996,3969,32002
0.42,0.14151936408841784,0.7852970795568983,0.239820396112683,23652,1066,3899,32886
0.43,0.14460913400045144,0.7742195367573012,0.24369987637493265,22738,1121,3844,33800
0.44,0.14715875805506737,0.7589123867069486,0.2465161923454367,21837,1197,3768,34701
0.45,0.150052678499068,0.7458207452165156,0.24983975980838646,20975,1262,3703,35563
0.46,0.15267849634177108,0.7313192346424975,0.25261766445194284,20151,1334,3631,36387
0.47,0.15599336012580814,0.7192346424974824,0.25638080195283053,19321,1394,3571,37217
0.48,0.15940377427295105,0.7043303121852971,0.25997100695089764,18441,1468,3497,38097
0.49,0.16272442291251069,0.6900302114803626,0.26334601637265076,17628,1539,3426,38910
0.5,0.16673277144273674,0.6773413897280967,0.26759498706982293,16807,1602,3363,39731
0.51,0.17023039088791095,0.6622356495468278,0.270840197693575,16027,1677,3288,40511
0.52,0.17396935031297214,0.6493454179254784,0.27441801080989064,15308,1741,3224,41230
0.53,0.17754848894903022,0.6342396777442094,0.2774327122153209,14587,1816,3149,41951
0.54,0.18153373870948697,0.6193353474320241,0.28077063550036524,13864,1890,3075,42674
0.55,0.1850296442687747,0.603423967774421,0.2832159568936995,13196,1969,2996,43342
0.56,0.1884423736491296,0.5865055387713998,0.28523851503575276,12541,2053,2912,43997
0.57,0.19315703380588878,0.5707955689828802,0.28863879411315374,11838,2131,2834,44700
0.58,0.1971457257601836,0.5536757301107754,0.29076101327410225,11195,2216,2749,45343
0.59,0.20313090826590033,0.5409869083585096,0.2953595777435672,10537,2279,2686,46001
0.6,0.20706426407271566,0.5230614300100704,0.2966813274690124,9945,2368,2597,46593
0.61,0.21244526776692488,0.5081570996978853,0.29962591295053737,9353,2442,2523,47185
0.62,0.21742241302209106,0.4896273917421954,0.30112721417069244,8750,2534,2431,47788
